picker,H,acc_final,acc_checkpoint,oracle_rank,frac_oracle
local_oracle,1.0,0.769231,0.587912,0.4867,0.7467
local_oracle,1.0,0.750000,0.626374,0.4200,0.7933
local_oracle,1.0,0.766484,0.571429,0.3367,0.8100
hybrid2,1.0,0.760989,0.505495,3.0533,0.4433
hybrid2,1.0,0.750000,0.510989,2.1367,0.4767
hybrid2,1.0,0.774725,0.607143,3.2367,0.3533
hybrid2,1.0,0.760989,0.557692,2.6433,0.3733
hybrid2,1.0,0.739011,0.612637,2.4400,0.4833
hybrid2,1.0,0.771978,0.541209,2.5767,0.4167
hybrid2,1.0,0.741758,0.587912,2.9133,0.4467
hybrid2,1.0,0.755495,0.521978,2.9833,0.4233
hybrid2,1.0,0.755495,0.530220,3.7333,0.3667
hybrid2,1.0,0.758242,0.552198,2.6100,0.4267
hybrid2,1.0,0.782967,0.574176,2.9633,0.4067
hybrid2,1.0,0.747253,0.568681,2.3467,0.4000
hybrid2,1.0,0.766484,0.552198,3.7033,0.3533
hybrid2,1.0,0.733516,0.585165,3.5267,0.4033
hybrid2,1.0,0.752747,0.538462,2.8267,0.4667
hybrid2,1.0,0.780220,0.568681,3.3767,0.4033
hybrid2,1.0,0.769231,0.579670,3.2400,0.3933
hybrid2,1.0,0.760989,0.535714,2.2967,0.4833
hybrid2,1.0,0.752747,0.598901,3.6567,0.3900
hybrid2,1.0,0.733516,0.552198,2.5500,0.3833
hybrid4,1.0,0.747253,0.552198,4.1333,0.3300
hybrid4,1.0,0.747253,0.563187,4.9800,0.3400
hybrid4,1.0,0.739011,0.557692,4.9233,0.2967
hybrid4,1.0,0.752747,0.568681,3.7633,0.3567
hybrid4,1.0,0.747253,0.576923,4.6867,0.3433
hybrid4,1.0,0.747253,0.541209,3.8167,0.3933
hybrid4,1.0,0.777473,0.629121,4.6667,0.3133
hybrid4,1.0,0.747253,0.576923,4.7100,0.2933
hybrid4,1.0,0.755495,0.532967,4.2633,0.3167
hybrid4,1.0,0.736264,0.535714,4.4267,0.3300
hybrid4,1.0,0.747253,0.582418,4.1567,0.3033
hybrid4,1.0,0.752747,0.568681,3.7933,0.3300
hybrid4,1.0,0.780220,0.565934,5.3567,0.3333
hybrid4,1.0,0.755495,0.574176,3.1000,0.3867
hybrid4,1.0,0.744505,0.576923,4.0433,0.3700
hybrid4,1.0,0.752747,0.472527,3.7733,0.3967
hybrid4,1.0,0.755495,0.532967,3.9700,0.3600
hybrid4,1.0,0.758242,0.552198,4.4500,0.3400
hybrid4,1.0,0.736264,0.508242,3.6067,0.3300
hybrid4,1.0,0.733516,0.552198,3.6700,0.3833
